QID	Guest Tokens	Guest HLs	Host Tokens	Host HLs	Vote
CNN-177596-7	['This', 'is', 'not', 'good.']	[1.0, 0.9, 0.9, 0.9]	"['This', 'is', 'what', 'you', ""don't"", 'want', 'happening', 'with', 'your', 'menorah,', 'folks.']"	[0.9, 0.8, 0.9, 0.9, 0.9, 0.9, 0.9, 0.7, 0.7, 0.7, 0.1]	[10, 20]
CNN-350097-7	"['And', 'it', ""didn't"", 'come', 'up', 'in', 'that', 'context', 'either.']"	[0.15789473684210525, 1.0, 1.0, 1.0, 1.0, 0.8947368421052632, 0.8947368421052632, 0.8947368421052632, 0.8421052631578947]	"['Yes,', 'I', 'know.', 'It', ""didn't"", 'come', 'up', 'then', 'either.', 'Have', 'you', 'spoken', 'to', 'the', 'accuser', 'since', 'the', 'story', 'broke', 'and', 'do', 'you', 'think', 'she', 'might', 'change', 'her', 'mind', 'about', 'identifying', 'herself', 'publicly?']"	[0.05263157894736842, 0.10526315789473684, 0.10526315789473684, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8947368421052632, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[19, 20]
CNN-235909-21	"['Well,', 'again,', 'as', 'the', 'Chairman', 'of', 'the', 'Intelligence', 'Committee,', 'we', 'noticed', 'the', 'very', 'dangerous', 'trend', 'a', 'few', 'years', 'ago', 'when', 'the', 'Iranian', 'Quds', 'force,', 'their', 'external', 'terrorist', 'group,', 'if', 'you', 'will,', 'supported', 'by', 'the', 'country', 'of', 'Iran,', 'was', 'planning', 'an', 'operation', 'to', 'use', 'the', 'southern', 'border', 'to', 'infiltrate', 'people', 'into', 'the', 'United', 'States', 'to', 'kill', 'the', 'Saudi', 'ambassador.', 'So,', 'clearly', 'our', 'enemies', 'and', 'our', 'adversaries', 'understand', 'that', 'it', 'is', 'a', 'weakness.', 'We', 'have', 'seen', 'a', 'trend', 'of', 'countries', 'that', 'we', 'are', 'very', 'concerned', 'about,', 'a', 'rise', 'in', 'individuals', 'being', 'apprehended', 'at', 'the', 'border.', 'The', 'scary', 'part', 'about', 'that', 'is', 'those', 'are', 'just', 'the', 'ones', 'that', 'get', 'apprehended.', 'So,', 'a', 'porous', 'southern', 'border', 'is', 'now', 'on', 'the', 'advertising', 'list', 'for', 'those', 'who', 'want', 'to', 'do', 'nefarious', 'activities', 'entering', 'the', 'United', 'States.', 'Everything', 'from', 'criminal', 'activity,', 'gangs,', ""we've"", 'seen', 'that', 'surely,', 'human', 'trafficking,', 'and', 'now', 'you', 'see', 'these', 'groups', 'who,', 'we', 'believe,', 'are', 'connected', 'in', 'some', 'way', 'with', 'terrorist', 'organizations', 'at', 'least', 'having', 'the', 'understanding', 'and', 'now', 'you', 'see', 'the', 'apprehensions', 'behind', 'it,', ""doesn't"", 'take', 'a', 'rocket', 'science', 'to', 'figure', 'out', 'that', 'they', 'figured', 'out', 'it', 'is', 'a', 'weakness', 'in', 'our', 'national', 'security.']"	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.07142857142857142, 0.14285714285714285, 0.21428571428571427, 0.21428571428571427, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.14285714285714285, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0.5714285714285714, 0.5, 0.5714285714285714, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.42857142857142855, 0.42857142857142855, 0.42857142857142855, 0.5, 0.42857142857142855, 0.42857142857142855, 0.42857142857142855, 0.42857142857142855]	['Where', 'the', 'holes', 'are.']	[0.9285714285714286, 0.9285714285714286, 1.0, 0.9285714285714286]	[14, 20]
NPR-23442-3	['I', 'think', 'change', 'is', 'hard.', 'And', 'I', 'think', 'that', 'the', 'leadership', 'has', 'some', 'bona', 'fide', 'concerns', 'about', 'how', 'this', 'will', 'impact', 'our', 'ability', 'to', 'fight', 'and', 'remain', 'cohesive', 'during', 'stressful', 'situations.']	[0, 0, 0.5, 0, 0, 0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]	"['Now,', ""you've"", 'had', 'a', 'lot', 'of', 'experience', 'with', 'training', 'female', 'recruits.', 'What', 'do', 'you', 'think', 'the', 'Marines', 'have', 'to', 'do', 'differently', 'now', 'to', 'give', 'women', 'the', 'preparation', 'they', 'need', 'for', 'the', 'battlefield?']"	[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0, 0, 0, 0, 0, 0, 0.5, 0.5, 0.5, 0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[2, 20]
CNN-323090-3	"['No,', 'I', 'think,', 'at', 'this', 'point,', 'frankly,', 'we', ""don't"", 'know', 'how', 'big', 'the', 'problem', 'is', 'for', 'all', 'these', 'companies.', 'But', ""it's"", 'very', 'clear', 'that', 'Russians', 'were', 'being', 'extremely', 'sophisticated', 'in', 'deciding', 'how', 'to', 'take', 'advantage', 'of', 'our', 'advertising', 'ecosystem', 'so', 'that', 'they', 'could', 'direct', 'their', 'ads', 'to', 'the', 'people', 'they', 'wanted', 'to', 'direct', 'these', 'ads', 'to.', 'And', 'so', 'Google', 'is', 'the', 'latest,', 'but', 'I', 'think', ""it's"", 'just', 'the', 'tip', 'of', 'the', 'iceberg', 'in', 'terms', 'of', 'how', 'broad', 'this', 'effort', 'was.']"	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0, 0, 0.07142857142857142, 0.07142857142857142, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5, 0.5, 0.5, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.14285714285714285, 0.21428571428571427, 0.5, 0.5, 0.5, 0.5, 0.21428571428571427, 0.21428571428571427, 0.21428571428571427, 0.21428571428571427, 0.21428571428571427, 0.21428571428571427, 0.21428571428571427, 0.21428571428571427, 0.21428571428571427, 0.21428571428571427, 0.21428571428571427, 0.21428571428571427, 0.21428571428571427, 0.21428571428571427, 0.21428571428571427, 0.21428571428571427, 0.21428571428571427, 0.21428571428571427]	['Some', 'of', 'the', 'new', 'details', 'coming', 'out', 'on', 'the', 'Facebook', 'side', 'has', 'been', 'some', 'of', 'the', 'content', 'of', 'the', 'ads,', 'where', 'those', 'ads', 'were', 'targeted.', 'Do', 'we', 'know', 'any', 'of', 'that', 'information', 'about', '--', 'for', 'Google?']	[0, 0, 0, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.21428571428571427, 0.21428571428571427, 0.21428571428571427, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.42857142857142855, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.35714285714285715, 0.35714285714285715, 0.35714285714285715, 0.35714285714285715, 0.2857142857142857, 0.21428571428571427, 0.42857142857142855, 0.5]	[14, 20]
CNN-376903-8	"['We', 'have', 'had', 'some', 'contact', 'at', 'the', 'staff', 'level,', 'but', 'she', 'and', 'I', ""haven't"", 'spoken', 'since', 'that', 'meeting', 'in', 'Washington.', 'But', 'it', ""doesn't"", 'matter.', 'If', 'you', 'want', 'to', 'talk', 'about', 'a', 'city,', 'particularly', 'one', 'as', 'high', 'profile', 'as', 'Chicago,', 'and', ""let's"", 'face', 'it,', 'we', 'have', 'been', 'the', 'punching', 'bag', 'for', 'the', 'President.', 'The', 'best', 'thing', 'to', 'do,', 'the', 'best', 'thing', 'to', 'do', 'is', 'reach', 'out,', 'have', 'honest', 'dialogue', 'and', 'then', 'try', 'to', 'form', 'a', 'partnership', 'about', 'how', 'we', 'can', 'address', 'these', 'challenges', 'together.', 'You', ""don't"", 'govern', 'by', 'tweet.']"	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.10526315789473684, 0.10526315789473684, 0.10526315789473684, 0.10526315789473684, 0.10526315789473684, 0.10526315789473684, 0.15789473684210525, 0.15789473684210525, 0.15789473684210525, 0.15789473684210525, 0.15789473684210525, 0.15789473684210525, 0.15789473684210525, 0.15789473684210525, 0.3684210526315789, 0.15789473684210525, 0.15789473684210525, 0.15789473684210525, 0.15789473684210525, 0.8947368421052632, 0.9473684210526315, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	"['As', 'you', 'said,', ""you've"", 'said', 'the', 'President', 'is', 'using', '-', 'has', 'used', 'Chicago', 'as', 'a', 'punching', 'bag.', 'Certainly', ""he's"", 'also', 'taken', 'aim', 'at,', 'you', 'know,', 'New', 'York', 'City,', 'most', 'recently', 'obviously', 'Baltimore.', 'Do', 'you', 'think', 'the', 'President', 'understands', 'kind', 'of', 'the', 'long-term', 'structural', 'things', 'which', 'might', 'help', 'a', 'city', 'like', 'Chicago', 'or', 'Baltimore?']"	[0.05263157894736842, 0.10526315789473684, 0.10526315789473684, 0.21052631578947367, 0.21052631578947367, 0.6842105263157895, 0.8421052631578947, 0.7368421052631579, 0.7894736842105263, 0.631578947368421, 0.8947368421052632, 0.9473684210526315, 1.0, 1.0, 1.0, 1.0, 1.0, 0.05263157894736842, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[19, 20]
CNN-111931-3	"['Well,', 'Fredericka,', 'Fort', ""Benning's"", 'got', 'a', 'very', 'important', 'mission', 'because', 'we', 'really', 'are', 'a', 'traing', 'base', 'for', 'the', 'United', 'States', 'Army,', 'especially', 'the', 'Infantry', 'as', 'we', 'bring', 'new', 'recruits', 'in,', 'train', 'them', 'how', 'to', 'be', 'Infantry', 'men,', 'and', 'send', 'them', 'back', 'out', 'the', 'units', 'that', 'are', 'fighting', 'the', 'ongoing', 'war', 'on', 'terrorism.', 'And', 'we', 'take', 'that', 'mission', 'very', 'seriously', 'and', 'morale', 'is', 'high,', ""it's"", 'a', 'very', 'busy', 'place,', 'as', 'you', 'might', 'imagine,', 'we', 'have', 'units', 'deploying,', 'units', 'deployed,', 'and', 'units', 'coming', 'back', 'from', 'deployment.', 'So,', ""it's"", 'great', 'to', 'be', 'at', 'Fort', 'Benning', 'and', ""it's"", 'great', 'to', 'be', 'an', 'Infantryman.']"	[0, 0, 0.05263157894736842, 0.05263157894736842, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.8947368421052632, 0.8947368421052632, 0.8947368421052632, 0.10526315789473684, 0.10526315789473684, 0.10526315789473684, 0.10526315789473684, 0.10526315789473684, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.5789473684210527, 0.5789473684210527, 0.631578947368421, 0.631578947368421, 0.3684210526315789, 0.3684210526315789, 0.21052631578947367, 0.21052631578947367, 0.21052631578947367, 0.21052631578947367, 0.21052631578947367, 0.21052631578947367, 0, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842]	['Any', 'you', 'mentioned', 'morale', 'is', 'high', 'despite', 'the', 'fact', 'that', 'Fort', 'Benning', 'has', 'cover', 'suffered,', 'at', 'least,', 'the', 'casualties', 'of', 'at', 'beast', '25', 'soldiers', 'who', 'have', 'died', 'in', 'the', 'war', 'in', 'Iraq.', 'You', 'continue', 'to', 'deploy', 'many', 'soldiers', 'from', 'that', 'base.', 'Moral', 'is', 'high,', 'even', 'despite', 'or', 'perhaps', 'in', 'concert', 'with', 'the', 'resignation', 'with', 'Defense', 'Secretary', 'Donald', 'Rumsfeld', 'and', 'the', 'appointment', 'of', 'Bob', 'Gates?']	[0.05263157894736842, 0.42105263157894735, 0.47368421052631576, 0.9473684210526315, 0.9473684210526315, 0.9473684210526315, 0.05263157894736842, 0, 0, 0, 0.05263157894736842, 0.05263157894736842, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5263157894736842, 0.5263157894736842, 0.5263157894736842, 0.5789473684210527, 0.5789473684210527, 0.5789473684210527, 0.2631578947368421, 0.2631578947368421, 0.2631578947368421, 0.5789473684210527, 0.5789473684210527, 0.5789473684210527, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842]	[19, 21]
NPR-14133-4	"['Well,', 'it', ""wasn't"", 'what', 'they', 'did;', 'it', 'was', 'more', 'what', 'they', 'said.', 'They', 'issued', 'a', 'statement,', 'as', 'they', 'usually', 'do', 'after', 'a', 'meeting,', 'listing', 'some', 'of', 'the', 'things', 'that', 'were', 'wrong', 'with', 'the', 'economy,', 'like', 'weak', 'consumer', 'spending,', 'weak', 'bank', 'lending.', 'None', 'of', 'this', 'should', 'be', 'news', 'to', 'you', 'if', 'you', 'follow', 'the', 'economy.', 'But', 'when', 'the', 'Fed', 'says', 'something,', 'people', 'have', 'a', 'way', 'of', 'sitting', 'up', 'and', 'taking', 'notice,', 'and', 'there', 'was', 'this', 'sort', 'of', 'shudder', 'that', 'went', 'through', 'the', 'financial', 'markets.', 'And', 'you', 'saw', 'stocks', 'really', 'fall.']"	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.36363636363636365, 0.36363636363636365, 0.36363636363636365, 0.36363636363636365, 0.2727272727272727, 0.2727272727272727, 0.2727272727272727, 0.2727272727272727, 0.2727272727272727, 0.2727272727272727, 0.2727272727272727, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.8181818181818182, 0.8181818181818182, 0.8181818181818182, 0.8181818181818182, 0.8181818181818182, 0.8181818181818182, 0.8181818181818182, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.09090909090909091, 0.09090909090909091, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.18181818181818182, 0.18181818181818182, 0.18181818181818182]	['So', 'Jim,', 'if', 'the', 'Fed', 'is', 'so', 'concerned', 'about', 'the', 'growth', 'of', 'the', 'economy', 'slowing', 'down,', 'what', 'is', 'it', 'doing', 'to', 'try', 'to', 'get', 'the', 'economy', 'moving', 'again?']	[0, 0, 0.2727272727272727, 0.6363636363636364, 0.7272727272727273, 0.7272727272727273, 0.6363636363636364, 0.9090909090909091, 0.9090909090909091, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8181818181818182, 0.8181818181818182, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0]	[11, 21]
CNN-19564-5	"['Well,', 'I', 'think', 'there', 'will', 'be', 'no', 'question', 'that', 'either', 'Bush', 'or', 'Gore,', 'whoever', 'gets', 'the', 'presidency,', 'will', 'attempt', 'that.', 'And', 'this', 'is', 'what', 'Mr.', 'Bush', 'has', 'said', 'all', 'along:', ""He's"", 'a', 'unifier,', 'not', 'a', 'divider.', 'So', 'you', 'can', 'be', 'sure', ""they're"", 'going', 'to', 'push', 'that', 'point', 'forward.', 'However,', 'there', 'will', 'be', 'lingering', 'doubts,', 'lingering', 'tensions;', 'and,', 'of', 'course,', ""we'll"", 'see', 'what', 'happens', 'over', 'the', 'next', 'two,', 'three', 'years.']"	[0, 0, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.14285714285714285, 0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.8571428571428571, 0.8571428571428571, 0.7142857142857143, 0.7142857142857143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['What', 'does', 'that', 'mean,', 'Bob', 'Dallek,', 'if', 'there', 'is', 'a', 'crisis', 'of', 'legitimacy,', 'or', 'a', 'problem', 'with', 'legitimacy,', 'both', 'here', 'at', 'home', 'and', 'overseas?']	[0, 0, 0, 0, 0, 0, 0.42857142857142855, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 1.0, 1.0, 1.0, 0.7142857142857143, 0.7142857142857143, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.14285714285714285, 0.14285714285714285]	[7, 21]
CNN-333433-3	"[""That's"", 'what', ""we're"", 'all', 'hoping', 'for.', 'These', 'two', 'weeks', 'apart', 'of', 'the', 'prime', ""minister's"", 'so-called', 'road', 'to', 'Brexit,', 'so', ""she's"", 'had', 'the', 'stars', 'of', 'her', 'cabinet', 'giving', 'speeches', 'supposed', 'to', 'outline', 'and', 'clarify', ""Britain's"", 'position', 'on', 'Brexit.', 'So', 'far,', 'we', ""haven't"", 'had', 'much', 'meat', 'on', 'the', 'bone.', 'Next', 'week,', ""we're"", 'expecting', 'this', 'big', 'speech', 'by', 'the', 'prime', 'minister.', 'So,', 'after', 'today', 'we', 'might', 'get', 'a', 'little', 'statement,', 'but', ""it's"", 'likely', 'to', 'be', 'fleshed', 'out', 'next', 'week.', 'So,', ""we're"", 'hoping', 'to', 'reach', 'a', 'compromise', 'between', '--']"	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0]	"['But', 'whatever', 'she', 'says', 'the', 'E.U.', 'will', 'still', 'have', 'to', 'sign', 'onto', 'that', 'because', 'the', 'E.U.', 'has', 'not', 'because', 'when,', 'for', 'instance,', 'Prime', 'Minister', 'May', 'said', 'something', 'about', 'a', 'transition', 'period', 'that', ""doesn't"", 'satisfy', 'the', 'E.U.', 'She', 'will', 'come', 'out', 'and', 'say,', 'no,', 'we', ""don't"", 'think', ""that's"", 'a', 'good', 'idea.', 'Whatever', 'is', 'decided', 'today,', 'even', 'if', ""it's"", 'a', 'unified', 'position,', ""that's"", 'not', 'the', 'end', 'of', 'the', 'road.']"	[0, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0, 0, 0, 0, 0, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.4444444444444444, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5555555555555556, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]	[9, 21]
