QID	Random
NPR-4855-7	0
CNN-170110-7	1
CNN-26711-7	0
CNN-162898-6	0
CNN-44404-7	1
NPR-39855-9	0
NPR-15505-5	0
NPR-23629-3	0
CNN-174603-13	0
NPR-8365-10	0
NPR-32992-15	0
CNN-35423-9	0
CNN-41259-4	0
CNN-21377-3	1
CNN-95407-3	0
CNN-327899-9	1
NPR-9401-3	0
CNN-187587-5	1
NPR-27460-13	0
CNN-103838-3	0
NPR-11045-5	0
NPR-15505-7	0
CNN-22326-7	0
NPR-12399-3	0
NPR-16481-3	0
CNN-65775-5	0
CNN-320073-7	0
CNN-24667-5	1
CNN-40490-3	1
CNN-319588-7	1
NPR-29986-4	1
NPR-23790-5	0
CNN-29888-9	0
NPR-13536-7	0
NPR-17702-8	0
CNN-111610-7	1
CNN-395083-3	0
CNN-11451-3	0
CNN-271388-12	0
CNN-50501-5	1
CNN-126364-6	0
NPR-58-11	0
CNN-87376-7	0
CNN-148030-7	1
NPR-47914-8	1
NPR-12213-7	0
CNN-33404-7	0
CNN-178518-3	0
CNN-36590-14	0
CNN-41861-3	0
CNN-69574-17	1
NPR-46081-4	0
NPR-34092-16	0
NPR-45424-5	0
CNN-378542-13	0
CNN-44456-3	0
CNN-347633-7	1
NPR-10683-11	1
NPR-1945-4	0
NPR-10683-9	0
CNN-80984-3	0
CNN-155750-6	0
CNN-175637-3	0
NPR-7886-6	1
NPR-14122-9	0
CNN-382242-8	0
CNN-220275-3	0
CNN-26647-5	1
NPR-44579-3	0
CNN-70652-7	1
NPR-7619-6	0
CNN-10486-9	0
CNN-90580-5	1
CNN-162898-12	1
NPR-15724-4	0
CNN-44986-5	0
NPR-46180-5	0
CNN-39232-11	0
NPR-28157-4	0
CNN-30274-13	0
CNN-345614-9	0
NPR-14806-5	1
CNN-55331-7	0
NPR-24016-4	1
CNN-227609-5	0
CNN-135292-8	0
NPR-37713-3	0
CNN-241881-3	0
CNN-45579-5	0
NPR-20086-7	0
NPR-15761-9	0
CNN-140088-3	0
CNN-221020-3	0
CNN-168600-3	0
CNN-134633-5	0
NPR-19540-5	0
NPR-42763-7	1
CNN-114925-5	0
CNN-80402-7	1
NPR-8617-9	0
CNN-55879-13	0
NPR-2622-6	1
NPR-3764-12	1
CNN-261527-7	0
NPR-13639-11	0
CNN-32269-13	0
NPR-16222-4	0
CNN-80402-3	0
NPR-4329-4	0
NPR-9347-13	0
CNN-229741-7	1
CNN-64921-5	0
CNN-197484-7	1
CNN-395861-10	0
CNN-413106-9	1
NPR-13225-5	0
CNN-62525-9	0
CNN-80157-3	0
CNN-235767-9	0
CNN-24376-3	0
CNN-3199-7	0
CNN-73548-5	0
CNN-26241-5	0
CNN-178381-17	0
CNN-323891-3	0
NPR-38181-5	0
NPR-4581-4	0
NPR-44230-10	0
CNN-388007-10	1
CNN-187362-11	0
CNN-243827-11	1
NPR-20376-7	0
NPR-20086-15	1
CNN-319588-9	0
CNN-139432-8	0
CNN-131966-5	0
CNN-7965-7	0
CNN-326433-7	0
NPR-39855-3	0
NPR-15848-3	0
CNN-196862-3	0
NPR-18917-10	0
CNN-17933-5	0
NPR-21694-7	0
CNN-166930-9	0
CNN-24678-5	0
NPR-20431-5	0
CNN-168166-4	0
NPR-44902-13	0
CNN-33404-9	0
NPR-2541-23	1
NPR-26677-3	0
NPR-20855-6	0
CNN-14483-5	0
CNN-372414-5	0
NPR-16222-6	0
CNN-52317-7	0
CNN-374873-12	0
CNN-147734-3	0
CNN-13309-11	0
CNN-321514-9	0
NPR-36238-12	0
NPR-795-9	1
NPR-8339-5	0
CNN-193731-3	0
NPR-49275-3	0
CNN-34495-8	0
CNN-269414-5	0
NPR-14986-10	0
CNN-312194-3	0
CNN-5386-3	0
NPR-17496-10	0
CNN-226205-3	0
CNN-171567-3	0
NPR-9355-6	0
NPR-6831-23	0
CNN-264364-11	0
